Date,Open,High,Low,Close,Volume
2020-08-27,1.31851,1.32844,1.31606,1.32282,334460
2020-08-28,1.32287,1.33562,1.31808,1.334,362120
2020-08-29,1.33401,1.33537,1.3322,1.33488,28596
2020-08-31,1.33328,1.33952,1.33008,1.33749,670287
2020-09-01,1.33749,1.34821,1.3356,1.34142,320618
2020-09-02,1.34143,1.34167,1.32829,1.3316,401269
2020-09-03,1.33161,1.33585,1.32421,1.32602,314820
2020-09-04,1.32601,1.33187,1.31756,1.32299,356740
2020-09-05,1.323,1.32929,1.32242,1.32782,48640
2020-09-07,1.32468,1.32657,1.31401,1.31621,166932
2020-09-08,1.31621,1.31739,1.30079,1.30359,330466
2020-09-09,1.30359,1.30534,1.28845,1.30107,322912
2020-09-10,1.30109,1.30347,1.28406,1.28453,394237
2020-09-11,1.28452,1.28654,1.27621,1.27859,329581
2020-09-12,1.27858,1.28122,1.27754,1.27942,47036
2020-09-14,1.27733,1.29191,1.27664,1.28743,176567
2020-09-15,1.28746,1.2926,1.28143,1.28633,231072
2020-09-16,1.28636,1.3007,1.28604,1.29793,231602
2020-09-17,1.29794,1.30004,1.28645,1.29532,399790
2020-09-18,1.29532,1.29996,1.29321,1.29481,269509
2020-09-19,1.2948,1.29566,1.29139,1.29143,41742
2020-09-21,1.29237,1.29663,1.27791,1.27939,268223
2020-09-22,1.27938,1.28669,1.27105,1.27241,335358
2020-09-23,1.2724,1.27768,1.26748,1.2752,311805
2020-09-24,1.27519,1.2781,1.26903,1.27369,324903
2020-09-25,1.27369,1.28054,1.26871,1.27047,259064
2020-09-26,1.27047,1.27499,1.26943,1.27395,36612
2020-09-28,1.27617,1.29298,1.27508,1.28638,217899
2020-09-29,1.28637,1.29026,1.28279,1.28455,262426
2020-09-30,1.28455,1.29424,1.28052,1.29185,311557
2020-10-01,1.29186,1.29782,1.28191,1.29002,342783
2020-10-02,1.29,1.29537,1.28365,1.29272,367606
2020-10-03,1.29268,1.2945,1.29186,1.29274,42490
2020-10-05,1.29337,1.29911,1.28994,1.29691,198266
2020-10-06,1.29692,1.3007,1.29162,1.29435,259245
2020-10-07,1.29439,1.29561,1.2845,1.29127,317025
2020-10-08,1.29126,1.297,1.28908,1.29422,230195
2020-10-09,1.29419,1.30145,1.29176,1.30028,219341
2020-10-10,1.30029,1.30486,1.29956,1.30433,30504
2020-10-12,1.30234,1.30825,1.30051,1.30615,155225
2020-10-13,1.30614,1.30715,1.29598,1.29697,242671
2020-10-14,1.29697,1.30641,1.28623,1.3021,256685
2020-10-15,1.30211,1.3034,1.28901,1.29153,249210
2020-10-16,1.29154,1.29619,1.28618,1.29287,338846
2020-10-17,1.29287,1.29454,1.2905,1.29082,40088
2020-10-19,1.28924,1.3024,1.2892,1.29962,225648
2020-10-20,1.29961,1.30043,1.2911,1.29499,259720
2020-10-21,1.295,1.31712,1.29303,1.31416,259788
2020-10-22,1.31419,1.31766,1.30702,1.30872,789257
2020-10-23,1.30871,1.31223,1.30187,1.30388,540149
2020-10-24,1.30384,1.30542,1.302,1.30391,109957
2020-10-26,1.30563,1.30745,1.29925,1.30198,681551
2020-10-27,1.30199,1.30794,1.30008,1.30657,616772
2020-10-28,1.30658,1.30764,1.29162,1.29966,488312
